ID;Número;Título;Categoria;Status
REC-0001;1;Doce de Leite sem Leite e sem Açúcar;Doces e Sobremesas;em_revisao
REC-0002;2;Doce de Leite sem Leite de Vaca;Doces e Sobremesas;publicada
REC-0003;3;Doce de Leite Ninho Zero Lactose e Zero Açúcar;Doces e Sobremesas;publicada
REC-0004;4;Recheio de Leite Ninho;Recheios e Coberturas;publicada
REC-0005;5;Marrom Glacê de Batata Doce;Recheios e Coberturas;em_revisao
REC-0006;6;Bolo de Milho Verde;Bolos e Tortas;publicada
REC-0007;7;Bolacha de Coco;Biscoitos e Bolachas;publicada
REC-0008;8;Pão do Sinval;Pães e Roscas;em_revisao
REC-0009;9;Panetone com Pamix;Pães e Roscas;publicada
REC-0010;10;Cajuzinho de Banana;Doces e Sobremesas;publicada
REC-0011;11;Queijadinha;Doces e Sobremesas;publicada
REC-0012;12;Pudim de Laranja;Pudins e Doces de Forno;publicada
REC-0013;13;Bolacha de Sal Amoníaco;Biscoitos e Bolachas;publicada
REC-0014;14;Caramelo para Pudim;Pudins e Doces de Forno;publicada
REC-0015;15;4 Leites Trufados;Doces e Sobremesas;publicada
REC-0016;16;Fatias Húngaras / Rosca Estrela da Nicole;Pães e Roscas;em_revisao
REC-0017;17;Bolacha de Nata;Biscoitos e Bolachas;publicada
REC-0018;18;Bolacha de 02/02/2025;Biscoitos e Bolachas;em_revisao
REC-0019;19;Pudim de Leite Condensado;Pudins e Doces de Forno;publicada
REC-0020;20;Bolo Tradicional de Aniversário;Bolos e Tortas;publicada
REC-0021;21;Creme de Ameixa;Doces e Sobremesas;publicada
REC-0022;22;Bolo de Pique-Nique;Bolos e Tortas;publicada
REC-0023;23;Doce de Abóbora;Doces e Sobremesas;publicada
REC-0024;24;Danone;Doces e Sobremesas;publicada
REC-0025;25;Pizza Enrolada;Salgados e Massas;publicada
REC-0026;26;Molho de Pimenta;Molhos e Cremes;publicada
REC-0027;27;Bolacha Palito;Biscoitos e Bolachas;publicada
REC-0028;28;Pudim Gostoso;Pudins e Doces de Forno;publicada
REC-0029;29;Brigadeiro de Alma Branca;Doces e Sobremesas;publicada
REC-0030;30;Pudim de Maria Mole;Pudins e Doces de Forno;publicada
REC-0031;31;Beijinho;Doces e Sobremesas;publicada
REC-0032;32;Cocadinha;Doces e Sobremesas;publicada
REC-0033;33;Biscoito Amanteigado;Biscoitos e Bolachas;publicada
REC-0034;34;Gelatina (02/02/2023);Doces e Sobremesas;publicada
REC-0035;35;Bolo de Fubá Cremoso;Bolos e Tortas;publicada
REC-0036;36;Biliscão;Biscoitos e Bolachas;publicada
REC-0037;37;Pudim de Leite em Pó;Pudins e Doces de Forno;publicada
REC-0038;38;Pudim de Leite Condensado;Pudins e Doces de Forno;publicada
REC-0039;39;Creme Firme para Bolo;Recheios e Coberturas;publicada
REC-0040;40;Recheio Creme 4 Leites;Recheios e Coberturas;publicada
REC-0041;41;Cajuzinho;Doces e Sobremesas;publicada
REC-0042;42;Chantilly com Chocolate Branco;Recheios e Coberturas;publicada
REC-0043;43;Quibe — Variante 2;Salgados e Massas;publicada
REC-0044;44;Bolo de Chocolate da Celina;Bolos e Tortas;publicada
REC-0045;45;Ganache de Chocolate;Recheios e Coberturas;publicada
REC-0046;46;Creme de Limão;Doces e Sobremesas;em_revisao
REC-0047;47;Glacê com Emulsificante;Recheios e Coberturas;publicada
REC-0048;48;Rosca Doce;Pães e Roscas;publicada
REC-0049;49;Bananinha (Receita da Graça);Doces e Sobremesas;publicada
REC-0050;50;Rosca Espiral (Fatias Húngaras);Pães e Roscas;publicada
REC-0051;51;Leite Condensado Caseiro;Doces e Sobremesas;publicada
REC-0052;52;Pudim de Pão (Pão Velho);Pudins e Doces de Forno;publicada
REC-0053;53;Brigadeiro;Doces e Sobremesas;publicada
REC-0054;54;Feijoada Carioca;Pratos Salgados;publicada
REC-0055;55;Pavê de Pêssego;Bolos e Tortas;publicada
REC-0056;56;Coxinha;Salgados e Massas;publicada
REC-0057;57;Bolo de Laranja;Bolos e Tortas;publicada
REC-0058;58;Bolo de Fubá;Bolos e Tortas;publicada
REC-0059;59;Esfirra Habib's;Salgados e Massas;publicada
REC-0060;60;Pão de Ló — Variante 2;Pães e Roscas;publicada
REC-0061;61;Bolo de Milho;Bolos e Tortas;publicada
REC-0062;62;Bolo Nega Maluca;Bolos e Tortas;publicada
REC-0063;63;Pé de Moleque;Doces e Sobremesas;publicada
REC-0064;64;Bolo de Cenoura;Bolos e Tortas;publicada
REC-0065;65;Risoles;Salgados e Massas;publicada
REC-0066;66;Doce de Mamão (Márcia);Doces e Sobremesas;publicada
REC-0067;67;Pizza de Liquidificador;Salgados e Massas;publicada
REC-0068;68;Recheio de Leite em Pó;Recheios e Coberturas;publicada
REC-0069;69;Bolo de Chocolate;Bolos e Tortas;publicada
REC-0070;70;Esfirra;Salgados e Massas;publicada
REC-0071;71;Pão de Queijo;Pães e Roscas;publicada
REC-0072;72;Creme de Queijo;Molhos e Cremes;publicada
REC-0073;73;Pão;Pães e Roscas;publicada
REC-0074;74;Bolo Toalha Felpudo;Bolos e Tortas;publicada
REC-0075;75;Bacalhau com Broa de Milho;Pratos Salgados;publicada
REC-0076;76;Pudim de Bar da Lourdes;Pudins e Doces de Forno;publicada
REC-0077;77;Pão de Forma (Doce/Salgado);Pães e Roscas;em_revisao
REC-0078;78;Quindim;Pudins e Doces de Forno;publicada
REC-0079;79;Bolo de Iogurte Natural;Bolos e Tortas;publicada
REC-0080;80;Fatias Húngaras / Rosca Estrela — Variante 2;Pães e Roscas;publicada
REC-0081;81;Pão Caseiro Baguete;Pães e Roscas;publicada
REC-0082;82;Torta Salgada;Salgados e Massas;publicada
REC-0083;83;Esfiha — Variante 2;Salgados e Massas;publicada
REC-0084;84;Sonho;Doces e Sobremesas;publicada
REC-0085;85;Bolo de Mel e Chocolate;Bolos e Tortas;publicada
REC-0086;86;Recheio Creme Branco com Bombom;Recheios e Coberturas;em_revisao
REC-0087;87;Recheio de Coco;Recheios e Coberturas;publicada
