ID;RECEITA;CATEGORIA;STATUS;FONTE_ORIGINAL;TIPO_DE_IMAGEM
REC-0001;Doce de Leite sem Leite e sem Açúcar;Doces e Sobremesas;em_revisao;;ilustrativa_externa
REC-0002;Doce de Leite sem Leite de Vaca;Doces e Sobremesas;publicada;;ilustrativa_externa
REC-0003;Doce de Leite Ninho Zero Lactose e Zero Açúcar;Doces e Sobremesas;publicada;;ilustrativa_externa
REC-0004;Recheio de Leite Ninho;Recheios e Coberturas;publicada;images/manuscritos/1.jpg;ilustrativa_externa
REC-0005;Marrom Glacê de Batata Doce;Recheios e Coberturas;em_revisao;images/manuscritos/3.jpg;ilustrativa_externa
REC-0006;Bolo de Milho Verde;Bolos e Tortas;publicada;images/manuscritos/4.jpg;ilustrativa_externa
REC-0007;Bolacha de Coco;Biscoitos e Bolachas;publicada;images/manuscritos/5.jpg;ilustrativa_externa
REC-0008;Pão do Val (Cascavel);Pães e Roscas;em_revisao;images/manuscritos/6.jpg;ilustrativa_externa
REC-0009;Panetone com Pamix;Pães e Roscas;publicada;images/manuscritos/7.jpg;ilustrativa_externa
REC-0010;Bolo de Rolo (Cascavel);Bolos e Tortas;publicada;images/manuscritos/8.jpg;ilustrativa_externa
REC-0011;Cajuzinho de Banana;Doces e Sobremesas;publicada;images/manuscritos/9.jpg;ilustrativa_externa
REC-0012;Queijadinha;Doces e Sobremesas;publicada;images/manuscritos/10.jpg;ilustrativa_externa
REC-0013;Pudim de Laranja;Pudins e Doces de Forno;publicada;images/manuscritos/11.jpg;ilustrativa_externa
REC-0014;Bolacha de Sal Amoníaco — Variante 1;Biscoitos e Bolachas;publicada;images/manuscritos/12.jpg;ilustrativa_externa
REC-0015;Caramelo para Pudim;Pudins e Doces de Forno;publicada;images/manuscritos/12.jpg;ilustrativa_externa
REC-0016;Creme de Laranja;Doces e Sobremesas;publicada;images/manuscritos/13.jpg;ilustrativa_externa
REC-0017;Bolacha de Sal Amoníaco — Variante 2;Biscoitos e Bolachas;publicada;images/manuscritos/14.jpg;ilustrativa_externa
REC-0018;Panetone — Receita Manuscrita;Pães e Roscas;em_revisao;images/manuscritos/15.jpg;ilustrativa_externa
REC-0019;Pão Caseiro — Variante 1;Pães e Roscas;publicada;images/manuscritos/16.jpg;ilustrativa_externa
REC-0020;Bolo de Maçã;Bolos e Tortas;publicada;images/manuscritos/17.jpg;ilustrativa_externa
REC-0021;4 Leites Trufados;Doces e Sobremesas;publicada;images/manuscritos/19.jpg;ilustrativa_externa
REC-0022;Bolacha 5 Pontos;Biscoitos e Bolachas;em_revisao;images/manuscritos/21.jpg;ilustrativa_externa
REC-0023;Bolacha de Sal Amoníaco — Variante 3;Biscoitos e Bolachas;publicada;images/manuscritos/21.jpg;ilustrativa_externa
REC-0024;Bolo de Cenoura — Variante 1;Bolos e Tortas;publicada;images/manuscritos/22.jpg;ilustrativa_externa
REC-0025;Rosquinha;Pães e Roscas;publicada;images/manuscritos/23.jpg;ilustrativa_externa
REC-0026;Bombocado de Assadeira;Bolos e Tortas;publicada;images/manuscritos/24.jpg;ilustrativa_externa
REC-0027;Rosca Caseira;Pães e Roscas;em_revisao;images/manuscritos/30.jpeg;ilustrativa_externa
