ID_V3;ID_V4;TITULO_FINAL;STATUS
REC-0001;REC-0001;Doce de Leite sem Leite e sem Açúcar;mantido
REC-0002;REC-0002;Doce de Leite sem Leite de Vaca;mantido
REC-0003;REC-0003;Doce de Leite Ninho Zero Lactose e Zero Açúcar;mantido
REC-0004;REC-0004;Recheio de Leite Ninho;mantido
REC-0005;REC-0005;Marrom Glacê de Batata Doce;mantido
REC-0006;REC-0006;Bolo de Milho Verde;mantido
REC-0007;REC-0007;Bolacha de Coco;mantido
REC-0008;REC-0008;Pão do Val (Cascavel);mantido
REC-0009;REC-0009;Panetone com Pamix;mantido
REC-0010;REC-0010;Bolo de Rolo (Cascavel);mantido
REC-0011;REC-0011;Cajuzinho de Banana;mantido
REC-0012;REC-0012;Queijadinha;mantido
REC-0013;REC-0013;Pudim de Laranja;mantido
REC-0014;REC-0014;Bolacha de Sal Amoníaco — Variante 1;mantido
REC-0015;REC-0015;Caramelo para Pudim;mantido
REC-0016;REC-0016;Creme de Laranja;mantido
REC-0017;REC-0017;Bolacha de Sal Amoníaco — Variante 2;mantido
REC-0018;REC-0018;Panetone — Receita Manuscrita;mantido
REC-0019;REC-0019;Pão Caseiro — Variante 1;mantido
REC-0020;REC-0020;Bolo de Maçã;mantido
REC-0021;REC-0021;4 Leites Trufados;mantido
REC-0022;REC-0022;Bolacha 5 Pontos;mantido
REC-0023;REC-0023;Bolacha de Sal Amoníaco — Variante 3;mantido
REC-0024;REC-0024;Bolo de Cenoura — Variante 1;mantido
REC-0025;REC-0025;Rosquinha;mantido
REC-0026;REC-0026;Bombocado de Assadeira;mantido
REC-0027;REC-0027;Rosca Caseira;mantido
REC-0028;REC-0028;Pastel;mantido
REC-0029;REC-0029;Bolacha de Nata — Variante 1;mantido
REC-0030;REC-0030;Bolinho de Queijo;mantido
REC-0031;REC-0031;Bolacha de 02/02/2025;mantido
REC-0032;REC-0032;Pudim — Receita Impressa;mantido
REC-0033;REC-0033;Bolo Tradicional de Aniversário;mantido
REC-0034;REC-0034;Creme de Ameixa;mantido
REC-0035;REC-0035;Quibe — Variante 1;mantido
REC-0036;REC-0036;Bolo de Pique-Nique;mantido
REC-0037;REC-0037;Doce de Abóbora;mantido
REC-0038;REC-0038;Bolacha de Nata — Variante 2;mantido
REC-0039;REC-0039;Mousse de Leite Ninho com Gelatina;mantido
REC-0040;REC-0040;Danone;mantido
REC-0041;REC-0041;Bolo de Chocolate — Variante 1;mantido
REC-0042;REC-0042;Pão Caseiro — Variante 2;mantido
REC-0043;REC-0043;Brigadeiro de Paçoca;mantido
REC-0044;REC-0044;Pizza Enrolada — Variante 1;mantido
REC-0045;REC-0045;Molho de Pimenta;mantido
REC-0046;REC-0046;Bolacha Palito;mantido
REC-0047;REC-0047;Pudim Gostoso;mantido
REC-0048;REC-0048;Pão Doce;mantido
REC-0049;REC-0049;Bolo de Laranja — Variante 1;mantido
REC-0050;REC-0050;Brigadeiro de Alma Branca;mantido
REC-0051;REC-0051;Pudim de Maria Mole — Variante 1;mantido
REC-0052;REC-0052;Bolo de Cenoura — Variante 2;mantido
REC-0053;REC-0053;Beijinho;mantido
REC-0054;REC-0054;Bolo Brigadeiro;mantido
REC-0055;;Molho de Pimenta;duplicata removida
REC-0056;REC-0055;Cocadinha;renumerado após limpeza
REC-0057;REC-0056;Biscoito Amanteigado;renumerado após limpeza
REC-0058;REC-0057;Cobertura para Bolo — Variante 1;renumerado após limpeza
REC-0059;REC-0058;Gelatina (02/02/2023);renumerado após limpeza
REC-0060;REC-0059;Creme Branco para Frutas;renumerado após limpeza
REC-0061;REC-0060;Massa Pão de Ló — Variante 1;renumerado após limpeza
REC-0062;REC-0061;Cobertura para Bolo — Variante 2;renumerado após limpeza
REC-0063;REC-0062;Bolo de Fubá Cremoso;renumerado após limpeza
REC-0064;REC-0063;Biliscão;renumerado após limpeza
REC-0065;REC-0064;Pudim de Leite em Pó — Variante 1;renumerado após limpeza
REC-0066;REC-0065;Pudim de Leite Condensado;renumerado após limpeza
REC-0067;REC-0066;Creme Firme para Bolo;renumerado após limpeza
REC-0068;REC-0067;Recheio Creme 4 Leites;renumerado após limpeza
REC-0069;REC-0068;Glacê de Leite Condensado;renumerado após limpeza
REC-0070;REC-0069;Cajuzinho;renumerado após limpeza
REC-0071;REC-0070;Chantilly com Chocolate Branco;renumerado após limpeza
REC-0072;REC-0071;Brigadeiro de Leite;renumerado após limpeza
REC-0073;REC-0072;Quibe — Variante 2;renumerado após limpeza
REC-0074;REC-0073;Creme de Milho;renumerado após limpeza
REC-0075;REC-0074;Bolo de Chocolate — Variante 2;renumerado após limpeza
REC-0076;REC-0075;Bolacha de Nata com Sal Amoníaco;renumerado após limpeza
REC-0077;REC-0076;Bolo de Coco Baiano;renumerado após limpeza
REC-0078;REC-0077;Bolo Cortado pela Samantha (Receita Márcia);renumerado após limpeza
REC-0079;REC-0078;Ganache de Chocolate;renumerado após limpeza
REC-0080;REC-0079;Creme de Limão;renumerado após limpeza
REC-0081;REC-0080;Glacê de Emulsificante;renumerado após limpeza
REC-0082;REC-0081;Pé de Moleque — Variante 1;renumerado após limpeza
REC-0083;REC-0082;Rosca Doce;renumerado após limpeza
REC-0084;REC-0083;Bananinha (Receita da Graça);renumerado após limpeza
REC-0085;REC-0084;Rosca Espiral (Fatias Húngaras) — Variante 1;renumerado após limpeza
REC-0086;REC-0085;Bolo de Chocolate — Variante 3;renumerado após limpeza
REC-0087;REC-0086;Leite Condensado Caseiro;renumerado após limpeza
REC-0088;REC-0087;Pudim de Leite em Pó — Variante 2;renumerado após limpeza
REC-0089;REC-0088;Pudim de Pão (Pão Velho) — Variante 1;renumerado após limpeza
REC-0090;REC-0089;Pudim de Maria Mole — Variante 2;renumerado após limpeza
REC-0091;REC-0090;Bolinhos de Chuva;renumerado após limpeza
REC-0092;REC-0091;Brigadeiro;renumerado após limpeza
REC-0093;REC-0092;Feijoada Carioca;renumerado após limpeza
REC-0094;REC-0093;Pavê de Pêssego;renumerado após limpeza
REC-0095;REC-0094;Coxinha;renumerado após limpeza
REC-0096;REC-0095;Pão de Banana;renumerado após limpeza
REC-0097;REC-0096;Bolo de Laranja — Variante 2;renumerado após limpeza
REC-0098;REC-0097;Bolo de Fubá;renumerado após limpeza
REC-0099;REC-0098;Rocambole Formiguinha;renumerado após limpeza
REC-0100;REC-0099;Esfirra Habib's;renumerado após limpeza
REC-0101;REC-0100;Pão de Ló — Variante 2;renumerado após limpeza
REC-0102;REC-0101;Bolo de Milho;renumerado após limpeza
REC-0103;REC-0102;Bolo Nega Maluca;renumerado após limpeza
REC-0104;REC-0103;Pé de Moleque — Variante 2;renumerado após limpeza
REC-0105;REC-0104;Bolo de Cenoura — Variante 3;renumerado após limpeza
REC-0106;;Bolo de Laranja — Variante 3;duplicata removida
REC-0107;REC-0105;Pão Caseiro — Variante 3;renumerado após limpeza
REC-0108;REC-0106;Risoles — Variante 1;renumerado após limpeza
REC-0109;REC-0107;Doce de Mamão (Márcia);renumerado após limpeza
REC-0110;REC-0108;Pizza de Liquidificador;renumerado após limpeza
REC-0111;REC-0109;Recheio de Leite em Pó;renumerado após limpeza
REC-0112;REC-0110;Pudim de Leite em Pó — Variante 3;renumerado após limpeza
REC-0113;REC-0111;Risoles — Variante 2;renumerado após limpeza
REC-0114;REC-0112;Bolo de Chocolate — Variante 4;renumerado após limpeza
REC-0115;REC-0113;Pizza Enrolada — Variante 2;renumerado após limpeza
REC-0116;REC-0114;Torta de Liquidificador;renumerado após limpeza
REC-0117;REC-0115;Esfirra — Variante 1;renumerado após limpeza
REC-0118;REC-0116;Pão de Queijo;renumerado após limpeza
REC-0119;REC-0117;Creme de Queijo;renumerado após limpeza
REC-0120;REC-0118;Pão;renumerado após limpeza
REC-0121;REC-0119;Massa Doce;renumerado após limpeza
REC-0122;REC-0120;Bolo Toalha Felpudo;renumerado após limpeza
REC-0123;REC-0121;Bacalhau com Broa de Milho;renumerado após limpeza
REC-0124;REC-0122;Pudim de Bar da Lourdes;renumerado após limpeza
REC-0125;REC-0123;Pão de Forma (Doce/Salgado);renumerado após limpeza
REC-0126;REC-0124;Quindim;renumerado após limpeza
REC-0127;REC-0125;Pudim de Pão (Pão Francês Amanhecido) — Variante 2;renumerado após limpeza
REC-0128;REC-0126;Bolo de Iogurte Natural;renumerado após limpeza
REC-0129;REC-0127;Fatias Húngaras / Rosca Estrela — Variante 2;renumerado após limpeza
REC-0130;REC-0128;Pão Caseiro Baguete;renumerado após limpeza
REC-0131;REC-0129;Torta Salgada;renumerado após limpeza
REC-0132;REC-0130;Sonho Assado;renumerado após limpeza
REC-0133;REC-0131;Esfiha — Variante 2;renumerado após limpeza
REC-0134;REC-0132;Pão de Mel;renumerado após limpeza
REC-0135;REC-0133;Pasta de Alho;renumerado após limpeza
REC-0136;REC-0134;Bombom Happy End;renumerado após limpeza
REC-0137;REC-0135;Sonho;renumerado após limpeza
REC-0138;REC-0136;Bolo de Mel e Chocolate;renumerado após limpeza
;REC-0137;Recheio Creme Branco com Bombom;nova receita identificada na auditoria V4
;REC-0138;Recheio de Chocolate Branco com Bombom;nova receita identificada na auditoria V4
;REC-0139;Recheio de Coco;nova receita identificada na auditoria V4
;REC-0140;Pão de Ló — Variante 3;nova receita identificada na auditoria V4
;REC-0141;Cobertura com Emulsificante — Variante 2;nova receita identificada na auditoria V4
;REC-0142;Recheio de Doce de Leite — Anotação Incompleta;nova receita identificada na auditoria V4
