ID V6;ID V7;Situação;Título V6;Título V7
REC-0001;REC-0001;MANTIDA;Doce de Leite sem Leite e sem Açúcar;Doce de Leite sem Leite e sem Açúcar
REC-0002;REC-0002;MANTIDA;Doce de Leite sem Leite de Vaca;Doce de Leite sem Leite de Vaca
REC-0003;REC-0003;MANTIDA;Doce de Leite Ninho Zero Lactose e Zero Açúcar;Doce de Leite Ninho Zero Lactose e Zero Açúcar
REC-0004;REC-0004;MANTIDA;Recheio de Leite Ninho;Recheio de Leite Ninho
REC-0005;REC-0005;MANTIDA;Marrom Glacê de Batata Doce;Marrom Glacê de Batata Doce
REC-0006;REC-0006;MANTIDA;Bolo de Milho Verde;Bolo de Milho Verde
REC-0007;REC-0007;MANTIDA;Bolacha de Coco;Bolacha de Coco
REC-0008;REC-0008;MANTIDA;Pão do Sinval;Pão do Sinval
REC-0009;REC-0009;MANTIDA;Panetone com Pamix;Panetone com Pamix
REC-0010;REC-0010;MANTIDA;Cajuzinho de Banana;Cajuzinho de Banana
REC-0011;REC-0011;MANTIDA;Queijadinha;Queijadinha
REC-0012;REC-0012;MANTIDA;Pudim de Laranja;Pudim de Laranja
REC-0013;REC-0013;MANTIDA;Bolacha de Sal Amoníaco;Bolacha de Sal Amoníaco
REC-0014;REC-0014;MANTIDA;Caramelo para Pudim;Caramelo para Pudim
REC-0015;;EXCLUÍDA;Creme de Laranja;
REC-0016;;EXCLUÍDA;Panetone — Receita Manuscrita;
REC-0017;;EXCLUÍDA;Bolo de Maçã;
REC-0018;REC-0015;MANTIDA;4 Leites Trufados;4 Leites Trufados
REC-0019;;EXCLUÍDA;Bolacha 5 Pontos;
REC-0020;;EXCLUÍDA;Bolo de Cenoura — Variante 1;
REC-0021;;EXCLUÍDA;Rosquinha;
REC-0022;;EXCLUÍDA;Bombocado de Assadeira;
REC-0023;REC-0016;MANTIDA;Fatias Húngaras / Rosca Estrela da Nicole;Fatias Húngaras / Rosca Estrela da Nicole
REC-0024;;EXCLUÍDA;Pastel;
REC-0025;REC-0017;MANTIDA;Bolacha de Nata — Variante 1;Bolacha de Nata — Variante 1
REC-0026;;EXCLUÍDA;Bolinho de Queijo;
REC-0027;REC-0018;MANTIDA;Bolacha de 02/02/2025;Bolacha de 02/02/2025
REC-0028;REC-0019;MANTIDA;Pudim — Receita Impressa;Pudim de Leite Condensado
REC-0029;REC-0020;MANTIDA;Bolo Tradicional de Aniversário;Bolo Tradicional de Aniversário
REC-0030;REC-0021;MANTIDA;Creme de Ameixa;Creme de Ameixa
REC-0031;;EXCLUÍDA;Quibe — Variante 1;
REC-0032;REC-0022;MANTIDA;Bolo de Pique-Nique;Bolo de Pique-Nique
REC-0033;REC-0023;MANTIDA;Doce de Abóbora;Doce de Abóbora
REC-0034;;EXCLUÍDA;Bolacha de Nata — Variante 2;
REC-0035;REC-0024;MANTIDA;Mousse de Leite Ninho com Gelatina;Mousse de Leite Ninho com Gelatina
REC-0036;REC-0025;MANTIDA;Danone;Danone
REC-0037;REC-0026;MANTIDA;Bolo de Chocolate da Isamara Amâncio;Bolo de Chocolate da Isamara Amâncio
REC-0038;REC-0027;MANTIDA;Brigadeiro de Paçoca;Brigadeiro de Paçoca
REC-0039;REC-0028;MANTIDA;Pizza Enrolada;Pizza Enrolada
REC-0040;REC-0029;MANTIDA;Molho de Pimenta;Molho de Pimenta
REC-0041;REC-0030;MANTIDA;Bolacha Palito;Bolacha Palito
REC-0042;REC-0031;MANTIDA;Pudim Gostoso;Pudim Gostoso
REC-0043;;EXCLUÍDA;Pão Doce;
REC-0044;REC-0032;MANTIDA;Brigadeiro de Alma Branca;Brigadeiro de Alma Branca
REC-0045;REC-0033;MANTIDA;Pudim de Maria Mole — Variante 1;Pudim de Maria Mole
REC-0046;;EXCLUÍDA;Bolo de Cenoura — Variante 2;
REC-0047;REC-0034;MANTIDA;Beijinho;Beijinho
REC-0048;REC-0035;MANTIDA;Bolo Brigadeiro;Bolo Brigadeiro
REC-0049;REC-0036;MANTIDA;Cocadinha;Cocadinha
REC-0050;REC-0037;MANTIDA;Biscoito Amanteigado;Biscoito Amanteigado
REC-0051;REC-0038;MANTIDA;Cobertura para Bolo — Variante 1;Cobertura para Bolo — Variante 1
REC-0052;REC-0039;MANTIDA;Gelatina (02/02/2023);Gelatina (02/02/2023)
REC-0053;REC-0040;MANTIDA;Creme Branco para Frutas;Creme Branco para Frutas
REC-0054;REC-0041;MANTIDA;Cobertura para Bolo — Variante 2;Cobertura para Bolo — Variante 2
REC-0055;REC-0042;MANTIDA;Bolo de Fubá Cremoso;Bolo de Fubá Cremoso
REC-0056;REC-0043;MANTIDA;Biliscão;Biliscão
REC-0057;REC-0044;MANTIDA;Pudim de Leite em Pó;Pudim de Leite em Pó
REC-0058;REC-0045;MANTIDA;Pudim de Leite Condensado;Pudim de Leite Condensado
REC-0059;REC-0046;MANTIDA;Creme Firme para Bolo;Creme Firme para Bolo
REC-0060;REC-0047;MANTIDA;Recheio Creme 4 Leites;Recheio Creme 4 Leites
REC-0061;REC-0048;MANTIDA;Glacê de Leite Condensado;Glacê de Leite Condensado
REC-0062;REC-0049;MANTIDA;Cajuzinho;Cajuzinho
REC-0063;REC-0050;MANTIDA;Chantilly com Chocolate Branco;Chantilly com Chocolate Branco
REC-0064;REC-0051;MANTIDA;Brigadeiro de Leite;Brigadeiro de Leite
REC-0065;REC-0052;MANTIDA;Quibe — Variante 2;Quibe — Variante 2
REC-0066;REC-0053;MANTIDA;Creme de Milho;Creme de Milho
REC-0067;REC-0054;MANTIDA;Bolo de Chocolate da Celina;Bolo de Chocolate da Celina
REC-0068;;EXCLUÍDA;Bolacha de Nata com Sal Amoníaco;
REC-0069;REC-0055;MANTIDA;Bolo de Coco Baiano;Bolo de Coco Baiano
REC-0070;REC-0056;MANTIDA;Bolo Cortado pela Samantha (Receita Márcia);Bolo Cortado pela Samantha (Receita Márcia)
REC-0071;REC-0057;MANTIDA;Ganache de Chocolate;Ganache de Chocolate
REC-0072;REC-0058;MANTIDA;Creme de Limão;Creme de Limão
REC-0073;REC-0059;MANTIDA;Glacê de Emulsificante;Glacê de Emulsificante
REC-0074;REC-0060;MANTIDA;Rosca Doce;Rosca Doce
REC-0075;REC-0061;MANTIDA;Bananinha (Receita da Graça);Bananinha (Receita da Graça)
REC-0076;REC-0062;MANTIDA;Rosca Espiral (Fatias Húngaras);Rosca Espiral (Fatias Húngaras)
REC-0077;REC-0063;MANTIDA;Bolo de Chocolate — Variante 3;Bolo de Chocolate — Variante 3
