ID V6;Título;Ação
REC-0015;Creme de Laranja;EXCLUIR
REC-0016;Panetone — Receita Manuscrita;EXCLUIR
REC-0017;Bolo de Maçã;EXCLUIR
REC-0019;Bolacha 5 Pontos;EXCLUIR
REC-0020;Bolo de Cenoura — Variante 1;EXCLUIR
REC-0021;Rosquinha;EXCLUIR
REC-0022;Bombocado de Assadeira;EXCLUIR
REC-0024;Pastel;EXCLUIR
REC-0026;Bolinho de Queijo;EXCLUIR
REC-0031;Quibe — Variante 1;EXCLUIR
REC-0034;Bolacha de Nata — Variante 2;EXCLUIR
REC-0043;Pão Doce;EXCLUIR
REC-0046;Bolo de Cenoura — Variante 2;EXCLUIR
REC-0068;Bolacha de Nata com Sal Amoníaco;EXCLUIR
